"lat","lng","type"
17.4420386,78.3928214,"Bank"
17.4208537,78.4439102,"Bank"
17.4145084,78.4487316,"Bank"
17.373197,78.501358,"Bank"
17.4326402,78.4908221,"Bank"
17.4103433,78.437315,"Bank"
17.41641,78.543826,"Bank"
17.4345102,78.4882589,"Bank"
17.423915,78.452581,"Bank"
17.4688345,78.4402792,"Bank"
17.4019272,78.4839574,"Bank"
17.3786293,78.5044678,"Bank"
17.4201784,78.5014448,"Bank"
17.3902521,78.4765954,"Bank"
17.3916117,78.4748697,"Bank"
17.3890777,78.4740543,"Bank"
17.4284715,78.4562816,"Bank"
17.3850438,78.4862124,"Bank"
17.4315929,78.4885835,"Bank"
17.3702044,78.5237053,"Bank"
17.3925997,78.4761675,"Bank"
17.4039199,78.4821306,"Bank"
17.4264803,78.4174611,"Bank"
17.3459919,78.5398288,"Hospital"
17.437407,78.482396,"Hospital"
17.4040663,78.4611368,"Hospital"
17.4245405,78.4571678,"Hospital"
17.3922525,78.4794555,"Hospital"
17.441665,78.497003,"Hospital"
17.44101,78.486924,"Hospital"
17.4210191,78.4564698,"Hospital"
17.4240813,78.4275368,"Hospital"
17.4157757,78.4454664,"Hospital"
17.385768,78.47422,"Hospital"
17.3925882,78.479727,"Hospital"
17.4065459,78.4716142,"Hospital"
17.392926,78.497684,"Hospital"
17.394365,78.5073513,"Hospital"
17.4036312,78.4754732,"Hospital"
17.4173796,78.4298696,"Hospital"
17.398897,78.4480007,"Hospital"
17.3935102,78.4718627,"Hospital"
17.3696998,78.5320268,"Hospital"
17.3514821,78.5560473,"Hospital"
17.4064009,78.4738538,"Hospital"
17.438487,78.442508,"Hospital"
17.455658,78.501198,"Hospital"
17.543883,78.433538,"Hospital"
17.4376849,78.5220258,"Hospital"
17.4282454,78.5405304,"Hospital"
17.3694101,78.5209631,"Hospital"
17.3988118,78.4620877,"Hospital"
17.4052558,78.4631679,"Hospital"
17.4642477,78.4571122,"Hospital"
17.4069394,78.4761803,"Hospital"
17.421248,78.4344569,"Hospital"
17.4447068,78.4663812,"Hospital"
17.3920235,78.4799012,"Hospital"
17.4292535,78.4130049,"Hospital"
17.3744847,78.4998599,"Hospital"
17.4471458,78.5082033,"Hospital"
17.470711,78.311178,"Hospital"
17.4077136,78.4781711,"Hospital"
17.4597652,78.3661083,"Hospital"
17.4146966,78.4474227,"Hospital"
17.4232449,78.5042,"Hospital"
17.3907927,78.4965118,"Hospital"
17.3859639,78.4705767,"Hospital"
17.444533,78.469374,"Hospital"
17.4453843,78.434951,"Hospital"
17.4394008,78.4419317,"Hospital"
17.4477732,78.5089642,"Hospital"
17.4215283,78.4561023,"Hospital"
17.4851926,78.3898435,"Hospital"
17.4347331,78.4352856,"Hospital"
17.4387785,78.4421611,"Hospital"
17.3900542,78.4595644,"Hospital"
17.4943811,78.3427254,"Hospital"
17.4035979,78.4408405,"Hospital"
17.456486,78.438993,"Hospital"
17.3617667,78.4737736,"Hospital"
17.3961266,78.5016577,"Hospital"
17.368836,78.534416,"Hospital"
17.4146185,78.49825,"Hospital"
17.3936213,78.4273303,"Hospital"
17.3409198,78.5067988,"Hospital"
17.416696,78.453562,"Hospital"
17.411009,78.4833,"Hospital"
17.440722,78.441661,"Hospital"
17.47285,78.387144,"Hospital"
17.4657456,78.4553457,"Hospital"
17.452629,78.435338,"Hospital"
17.385044,78.486671,"Hospital"
17.414242,78.45294,"Hospital"
17.418205,78.457659,"Hospital"
17.397823,78.4843,"Hospital"
17.3617753,78.4867019,"Hospital"
17.5184974,78.3969034,"Hospital"
17.429926,78.428142,"Hospital"
17.4706207,78.5052484,"Hospital"
17.4038053,78.4570975,"Hospital"
17.40615,78.460985,"Hospital"
17.4559784,78.3718678,"Hospital"
17.4312702,78.4554009,"Hospital"
17.370284,78.5006189,"Hospital"
17.372407,78.5075496,"Hospital"
17.471477,78.567671,"Hospital"
17.3850474,78.4866596,"Hospital"
17.439214,78.480461,"Hospital"
17.370996,78.514731,"Hospital"
17.3935701,78.4816547,"Hospital"
17.4737727,78.5692968,"Hospital"
17.4271175,78.4503677,"Hospital"
17.4705556,78.311124,"Hospital"
17.424843,78.456367,"Hospital"
17.3867625,78.4499629,"Hospital"
17.3910234,78.4723084,"Hospital"
17.351831,78.509802,"Hospital"
17.3988858,78.4117493,"Hospital"
17.38716,78.483911,"Hospital"
17.3133894,78.4255385,"Hospital"
17.4442897,78.3861164,"Hospital"
17.4967152,78.305268,"Hospital"
17.4423565,78.3586354,"Hospital"
17.407525,78.449611,"Hospital"
17.6477845,78.4925562,"Hospital"
17.4023847,78.567027,"Hospital"
17.390081,78.494342,"Hospital"
17.3139697,78.5085876,"Hospital"
17.41243,78.433864,"Hospital"
17.4678153,78.4792471,"Hospital"
17.454726,78.380397,"Hospital"
17.421242,78.4513932,"Hospital"
17.417047,78.451582,"Hospital"
17.4610232,78.3432414,"Hospital"
17.3992808,78.4792569,"Hospital"
17.3748416,78.4999667,"Hospital"
17.4109673,78.4834971,"Hospital"
17.3616416,78.4366162,"Hospital"
17.4218524,78.4327026,"Hospital"
17.412541,78.4502594,"Hospital"
17.3903089,78.4811439,"Hospital"
17.3916183,78.4600627,"Hospital"
17.4941566,78.4031185,"Hospital"
17.429595,78.433922,"Hospital"
17.444429,78.466252,"Hospital"
17.3180998,78.4455309,"Hospital"
17.389896,78.495866,"Hospital"
17.430518,78.450407,"Hospital"
17.402049,78.484268,"Hospital"
17.3986493,78.4610578,"Hospital"
17.4910941,78.4010891,"Hospital"
17.4565897,78.4268521,"Hospital"
17.4958512,78.3556567,"Hospital"
17.3490644,78.5482989,"Hospital"
17.437585,78.445997,"Hospital"
17.4407184,78.3916438,"Hospital"
17.4445375,78.4513932,"Hospital"
17.3949287,78.442681,"Hospital"
17.391431,78.437011,"Hospital"
17.397857,78.483212,"Hospital"
17.4292939,78.4279676,"Hospital"
17.424487,78.4562961,"Hospital"
17.488538,78.446447,"Hospital"
17.488752,78.4005714,"Hospital"
17.4959581,78.3950271,"Hospital"
